Time,Emotion,Confidence
2026-05-09 00:04:49,sad,83.95
2026-05-09 00:04:49,sad,67.28
2026-05-09 00:04:49,sad,65.79
2026-05-09 00:04:49,sad,82.96
2026-05-09 00:04:49,sad,82.80
2026-05-09 00:04:49,sad,87.53
2026-05-09 00:04:49,sad,78.09
2026-05-09 00:04:49,sad,89.50
2026-05-09 00:04:50,sad,79.22
2026-05-09 00:04:50,sad,84.09
2026-05-09 00:04:50,sad,70.95
2026-05-09 00:04:50,sad,89.87
2026-05-09 00:04:50,sad,87.87
2026-05-09 00:04:50,sad,79.58
2026-05-09 00:04:50,sad,90.09
2026-05-09 00:04:50,sad,90.09
2026-05-09 00:04:50,sad,72.70
2026-05-09 00:04:51,sad,67.86
2026-05-09 00:04:51,sad,60.29
2026-05-09 00:04:51,neutral,58.42
2026-05-09 00:04:51,neutral,49.40
2026-05-09 00:04:51,neutral,59.27
2026-05-09 00:04:51,neutral,46.48
2026-05-09 00:04:51,neutral,67.85
2026-05-09 00:04:51,neutral,67.68
2026-05-09 00:04:51,neutral,73.65
2026-05-09 00:04:52,neutral,85.42
2026-05-09 00:04:52,neutral,99.65
2026-05-09 00:04:52,neutral,99.08
2026-05-09 00:04:52,neutral,99.40
2026-05-09 00:04:52,neutral,94.46
2026-05-09 00:04:52,neutral,85.69
2026-05-09 00:04:52,neutral,75.96
2026-05-09 00:04:52,neutral,84.88
2026-05-09 00:04:53,neutral,98.02
2026-05-09 00:04:53,neutral,99.27
2026-05-09 00:04:53,neutral,94.69
2026-05-09 00:04:53,fear,48.40
2026-05-09 00:04:53,fear,57.90
2026-05-09 00:04:53,fear,57.42
2026-05-09 00:04:53,fear,48.07
2026-05-09 00:04:53,fear,77.51
2026-05-09 00:04:54,sad,77.22
2026-05-09 00:04:54,fear,59.34
2026-05-09 00:04:54,fear,40.50
2026-05-09 00:04:54,neutral,56.76
2026-05-09 00:04:54,neutral,85.92
2026-05-09 00:04:54,fear,49.16
2026-05-09 00:04:55,fear,47.29
2026-05-09 00:04:55,neutral,54.57
2026-05-09 00:04:55,neutral,94.20
2026-05-09 00:04:55,neutral,94.32
2026-05-09 00:04:55,neutral,64.18
2026-05-09 00:04:56,neutral,57.21
2026-05-09 00:04:56,sad,44.27
2026-05-09 00:04:56,neutral,74.99
2026-05-09 00:04:56,neutral,74.30
